0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/jquery.hoverIntent.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/load-image.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/image-gallery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/jquery.vticker-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/jquery.sparkline.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/tables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/maskedinput.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/jquery.validationEngine-en.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/chosen.jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/jquery.simpleWeather.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/jquery.validationEngine.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/js HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/sidebar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /AWOS/Back-Office/assets/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:51:44 +0100] "GET /favicon.ico HTTP/1.1" 404 998
